model,label,family,dataset,evaluation,samples,reused,d1,d2,d3,abs_rel,sq_rel,rmse,rmse_log,log10,silog
depthart_tinyvim_s,DepthART TinyViM-S,depthart_tinyvim,ETH3D,affine,454,True,0.95,,,0.084,,,,,
depthart_tinyvim_s,DepthART TinyViM-S,depthart_tinyvim,DDAD,affine,3950,True,0.9,,,0.095,,,,,
depthart_tinyvim_s,DepthART TinyViM-S,depthart_tinyvim,DIODE,affine,771,True,0.745,,,0.214,,,,,
depthart_tinyvim_b,DepthART TinyViM-B,depthart_tinyvim,NYUD,affine,654,True,0.969,,,0.057,,,,,
depthart_tinyvim_b,DepthART TinyViM-B,depthart_tinyvim,KITTI,affine,652,True,0.929,,,0.088,,,,,
depthart_tinyvim_b,DepthART TinyViM-B,depthart_tinyvim,ETH3D,affine,454,True,0.954,,,0.092,,,,,
depthart_tinyvim_b,DepthART TinyViM-B,depthart_tinyvim,DDAD,affine,3950,True,0.906,,,0.094,,,,,
depthart_tinyvim_b,DepthART TinyViM-B,depthart_tinyvim,DIODE,affine,771,True,0.746,,,0.214,,,,,
depthart_tinyvim_l,DepthART TinyViM-L,depthart_tinyvim,NYUD,affine,654,True,0.971,,,0.053,,,,,
depthart_tinyvim_l,DepthART TinyViM-L,depthart_tinyvim,KITTI,affine,652,True,0.933,,,0.079,,,,,
depthart_tinyvim_l,DepthART TinyViM-L,depthart_tinyvim,ETH3D,affine,454,True,0.958,,,0.091,,,,,
depthart_tinyvim_l,DepthART TinyViM-L,depthart_tinyvim,DDAD,affine,3950,True,0.91,,,0.095,,,,,
depthart_tinyvim_l,DepthART TinyViM-L,depthart_tinyvim,DIODE,affine,771,True,0.754,,,0.208,,,,,
depthart_mnv4mslim_spf,DepthART MobileNetV4-M-slim-SPF,depthart_mobilenet,NYUD,affine,654,False,0.9518892790049501,0.9892131043512032,0.9969674398763048,0.0684711567789438,0.036028732790346796,0.3003123787368359,0.09874686321987443,0.02987951323144718,9.843007302195874
depthart_mnv4mslim_spf,DepthART MobileNetV4-M-slim-SPF,depthart_mobilenet,KITTI,affine,652,False,0.928116106658666,0.9864979573357371,0.996603239349806,0.08167075437598711,0.4665231589050455,3.716022774169886,0.12206884372772048,0.03509534891565117,12.154188622390198
depthart_mnv4mslim_spf,DepthART MobileNetV4-M-slim-SPF,depthart_mobilenet,ETH3D,affine,454,False,0.9275602410369123,0.9806803978608547,0.992243774768372,0.09837304913897743,0.8371657461200392,1.504537751267024,0.1266457586270825,0.038989637770488396,12.578041742039812
depthart_mnv4mslim_spf,DepthART MobileNetV4-M-slim-SPF,depthart_mobilenet,DDAD,affine,3950,False,0.8787393289204332,0.9663561649327445,0.9872651953040268,0.11526209566683372,1.1934912817995313,6.529011270608866,0.17677522045623,0.049261741499293125,17.585664525975943
depthart_mnv4mslim_spf,DepthART MobileNetV4-M-slim-SPF,depthart_mobilenet,DIODE,affine,771,False,0.7318058189276481,0.8645527668868053,0.9245614863756914,0.2159511474554982,1.917017011077715,4.343931313965966,0.29001815178220974,0.09032990826404616,27.7054847371295
