family,encoder,resolution,mode,tf32_allowed,model_mean_ms,model_p50_ms,model_p95_ms,model_fps,e2e_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_fps,peak_mib,samples,warmup,trt_validation_passed,finite,shape_match,relative_mae,affine_aligned_relative_mae,parameters_unchanged,parameter_sha256,checkpoint,engine,plugin,backend,gpu,driver,torch,torch_cuda_build,cudnn,tensorrt
relative,L,224,amp,False,3.2115455334186556,3.2109599113464355,3.217184066772461,311.3765598507678,4.147259309,4.13497,4.25337755,241.1230949147289,152.62890625,1000,200,,True,True,0.020582355558872223,0.009450762532651424,True,2ad6e9732bf4039a447ba76145176f539cb916a8742484143bb86ac804422a2e,checkpoints/relative/depthart_relative_l_224.pth,,,PyTorch CUDA Graph + custom SelectiveScan,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,L,224,fp32,True,2.448102528333664,2.4473440647125244,2.4545983910560607,408.47962388269104,3.340822543,3.321996,3.4880394,299.3274821182264,152.724609375,1000,200,,True,True,0.0,2.3136226445785724e-07,True,2ad6e9732bf4039a447ba76145176f539cb916a8742484143bb86ac804422a2e,checkpoints/relative/depthart_relative_l_224.pth,,,PyTorch CUDA Graph + custom SelectiveScan,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,L,224,trt_fp16,False,1.3085429121255874,1.307968020439148,1.3159375727176665,764.2087934094629,2.13029409,2.126945,2.15929235,469.4187552292369,10.9970703125,1000,200,True,True,True,0.034207578748464584,0.03424648568034172,True,2ad6e9732bf4039a447ba76145176f539cb916a8742484143bb86ac804422a2e,checkpoints/relative/depthart_relative_l_224.pth,a6000_generated_artifacts_not_included/relative_l_224_fp16.engine,a6000_generated_artifacts_not_included/libdepthart_selective_scan_trt_sm86.so,TensorRT CUDA Graph + SelectiveScan plugin,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,L,224,trt_fp32,True,2.0140443551540375,2.0133121013641357,2.0206398963928223,496.51339477253885,2.8677787630000005,2.8664245,2.9070463,348.7019336714433,10.9970703125,1000,200,True,True,True,0.0009665766847319901,0.0007632205379195511,True,2ad6e9732bf4039a447ba76145176f539cb916a8742484143bb86ac804422a2e,checkpoints/relative/depthart_relative_l_224.pth,a6000_generated_artifacts_not_included/relative_l_224_tf32.engine,a6000_generated_artifacts_not_included/libdepthart_selective_scan_trt_sm86.so,TensorRT CUDA Graph + SelectiveScan plugin,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,L,448,amp,False,4.641360256195068,4.64031982421875,4.649485015869141,215.45407914958707,7.571236969,7.527557,7.9852734000000005,132.0788140820903,162.361328125,1000,200,,True,True,0.004994305782020092,0.003004050115123391,True,20a8da150109bf565254a4ad53793b6470268d8b8cdaee6d418d973db398cfb9,checkpoints/relative/depthart_relative_l_448.pth,,,PyTorch CUDA Graph + custom SelectiveScan,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,L,448,fp32,True,5.0149804191589356,5.014175891876221,5.021503925323486,199.40257317449516,7.876483272,7.8540235,8.0381099,126.96021377394224,162.744140625,1000,200,,True,True,0.0,1.8304690740933438e-07,True,20a8da150109bf565254a4ad53793b6470268d8b8cdaee6d418d973db398cfb9,checkpoints/relative/depthart_relative_l_448.pth,,,PyTorch CUDA Graph + custom SelectiveScan,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,L,448,trt_fp16,False,2.133256574392319,2.132143974304199,2.1390160441398622,468.76686658512267,4.980340856999999,4.9641645,5.0871799499999995,200.78946977985933,19.6103515625,1000,200,True,True,True,0.01921013928949833,0.011482244357466698,True,20a8da150109bf565254a4ad53793b6470268d8b8cdaee6d418d973db398cfb9,checkpoints/relative/depthart_relative_l_448.pth,a6000_generated_artifacts_not_included/relative_l_448_fp16.engine,a6000_generated_artifacts_not_included/libdepthart_selective_scan_trt_sm86.so,TensorRT CUDA Graph + SelectiveScan plugin,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,L,448,trt_fp32,True,3.7979566695690155,3.8050400018692017,3.8224639892578125,263.2994757450664,6.654149413,6.6338925,6.7883314,150.2821680027701,19.6103515625,1000,200,True,True,True,0.002149546053260565,0.000662507489323616,True,20a8da150109bf565254a4ad53793b6470268d8b8cdaee6d418d973db398cfb9,checkpoints/relative/depthart_relative_l_448.pth,a6000_generated_artifacts_not_included/relative_l_448_tf32.engine,a6000_generated_artifacts_not_included/libdepthart_selective_scan_trt_sm86.so,TensorRT CUDA Graph + SelectiveScan plugin,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,S,224,amp,False,2.286224385023117,2.2854080200195312,2.2947263360023498,437.40238558862563,3.1688582549999995,3.1409255,3.321369,315.5710730898565,50.580078125,1000,200,,True,True,0.005311791319400072,0.002671042690053582,True,16171029c12d0d13e3aee4926c10862c1d89b948c0f9820808d88a3355952c90,checkpoints/relative/depthart_relative_s_224.pth,,,PyTorch CUDA Graph + custom SelectiveScan,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,S,224,fp32,True,1.6896097625494004,1.6886080503463745,1.6972479820251465,591.8526408672797,2.586192905,2.580753,2.64531365,386.66875857042845,50.67578125,1000,200,,True,True,0.0,6.809706576405006e-08,True,16171029c12d0d13e3aee4926c10862c1d89b948c0f9820808d88a3355952c90,checkpoints/relative/depthart_relative_s_224.pth,,,PyTorch CUDA Graph + custom SelectiveScan,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,S,224,trt_fp16,False,0.9183183351755142,0.9173759818077087,0.9238719940185547,1088.9470042094654,1.774711485,1.771087,1.8190089,563.4718704713854,10.9970703125,1000,200,True,True,True,0.005761043168604374,0.003578437492251396,True,16171029c12d0d13e3aee4926c10862c1d89b948c0f9820808d88a3355952c90,checkpoints/relative/depthart_relative_s_224.pth,a6000_generated_artifacts_not_included/relative_s_224_fp16.engine,a6000_generated_artifacts_not_included/libdepthart_selective_scan_trt_sm86.so,TensorRT CUDA Graph + SelectiveScan plugin,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,S,224,trt_fp32,True,1.2945145283937454,1.296239972114563,1.3037152111530304,772.4903645854143,2.133199994,2.131336,2.1767168999999997,468.7793000246933,10.9970703125,1000,200,True,True,True,0.0022209398448467255,0.0003147986135445535,True,16171029c12d0d13e3aee4926c10862c1d89b948c0f9820808d88a3355952c90,checkpoints/relative/depthart_relative_s_224.pth,a6000_generated_artifacts_not_included/relative_s_224_tf32.engine,a6000_generated_artifacts_not_included/libdepthart_selective_scan_trt_sm86.so,TensorRT CUDA Graph + SelectiveScan plugin,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,S,448,amp,False,3.023831903219223,3.0232479572296143,3.02892804145813,330.7062138392624,5.885702971,5.8786605000000005,5.9924819000000005,169.90323924384123,58.90625,1000,200,,True,True,0.006150611210614443,0.0015305004781112075,True,5406a0099a83739f2bcd4b85bbcb97c8e947d3780923e1a0c69f96bd59039f2a,checkpoints/relative/depthart_relative_s_448.pth,,,PyTorch CUDA Graph + custom SelectiveScan,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,S,448,fp32,True,2.936585793018341,2.9360480308532715,2.941729712486267,340.5315119270395,5.860008522999999,5.819698499999999,6.16358945,170.64821596676714,59.2890625,1000,200,,True,True,0.0,7.553352787681433e-08,True,5406a0099a83739f2bcd4b85bbcb97c8e947d3780923e1a0c69f96bd59039f2a,checkpoints/relative/depthart_relative_s_448.pth,,,PyTorch CUDA Graph + custom SelectiveScan,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,S,448,trt_fp16,False,1.3549643193483352,1.3544960021972656,1.3594880104064941,738.0268142270685,4.235243492,4.202458,4.44071155,236.1139334465448,19.6103515625,1000,200,True,True,True,0.0117583516985178,0.0024930699728429317,True,5406a0099a83739f2bcd4b85bbcb97c8e947d3780923e1a0c69f96bd59039f2a,checkpoints/relative/depthart_relative_s_448.pth,a6000_generated_artifacts_not_included/relative_s_448_fp16.engine,a6000_generated_artifacts_not_included/libdepthart_selective_scan_trt_sm86.so,TensorRT CUDA Graph + SelectiveScan plugin,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,S,448,trt_fp32,True,2.117663904428482,2.1167359352111816,2.1252511620521544,472.21846578618494,5.117620593,5.0002565,5.7291462,195.40330937542012,19.6103515625,1000,200,True,True,True,0.001135069876909256,0.00033130936208181083,True,5406a0099a83739f2bcd4b85bbcb97c8e947d3780923e1a0c69f96bd59039f2a,checkpoints/relative/depthart_relative_s_448.pth,a6000_generated_artifacts_not_included/relative_s_448_tf32.engine,a6000_generated_artifacts_not_included/libdepthart_selective_scan_trt_sm86.so,TensorRT CUDA Graph + SelectiveScan plugin,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
